customer_id,signup_date,tenure_days,subscription_tier,monthly_reoccuring_revenue,company_size,industry,logins_30d,session_duration_avg,features_used,power_feature_usage,days_since_last_login,support_tickets_30d,ticket_sentiment,net_promoter_score,payment_failures,usage_vs_plan,churned,engagement_score,activity_recency,usage_efficiency,power_user_score,engagement_velocity,health_score,dormancy_risk,low_engagement_risk,support_risk,payment_risk,sentiment_risk,high_risk_flag,lifecycle_stage,support_intensity,support_quality_score,net_promoter_score_category,satisfaction_index,usage_category,value_realization,revenue_risk_score,estimated_ltv,engagement_tenure,usage_satisfaction,login_feature_interaction,subscription_tier_numeric,subscription_tier_engagement,tenure_segment,tenure_velocity,recently_active,stale_account,subscription_tier_encoded,size_encoded,industry_encoded,lifecycle_encoded,net_promoter_score_category_encoded,usage_category_encoded
cust_00000,2025-04-22,132,basic,49,1-10,retail,23,33.9,5,4,0,1,0.47,7,0,0.53,0,15.98,1.0,0.20833333333333334,17.037037037037035,-0.0752759286915825,51.98006715020125,0,0,0,0,0,0,growing,0.18518518518518517,77.49074074074073,passive,71.39999999999999,medium,8.4694,11.764883548200695,1176.0,78.14777906898362,0.38955,115,1,15.98,3-6mo,0.12015037593984963,1,0,0,0,3,0,1,2
cust_00001,2025-05-03,121,free,0,1-10,finance,21,44.4,3,0,1,0,0.78,8,0,0.55,0,16.08,0.5,0.13636363636363635,0.0,0.2704285838459497,53.028356513768784,0,0,0,0,0,0,growing,0.0,94.5,passive,83.60000000000001,medium,8.844,0.0,0.0,77.24865839931076,0.48950000000000005,63,0,0.0,3-6mo,0.13180327868852457,1,0,1,0,0,0,1,2
cust_00002,2024-07-19,409,free,0,1-10,tech,19,39.1,9,0,10,2,0.38,7,0,0.79,0,16.22,0.09090909090909091,0.45,0.0,0.13919636508684305,51.25995496752082,0,0,0,0,0,0,loyal,0.1366742596810934,77.66628701594533,passive,69.6,high,12.8138,0.0,0.0,97.58206913030729,0.5451,171,0,0.0,1-2yr,0.0395609756097561,0,0,1,0,4,1,1,0
cust_00003,2024-01-27,583,free,0,1-10,other,23,50.7,8,0,0,0,0.83,8,0,0.76,0,19.439999999999998,1.0,0.3333333333333333,0.0,0.05919509051822196,60.328634479735385,0,0,0,0,0,0,loyal,0.0,95.75,passive,84.60000000000001,high,14.774399999999998,0.0,0.0,123.83087510618073,0.6954,184,0,0.0,1-2yr,0.03328767123287671,1,0,1,0,2,1,1,0
cust_00004,2023-11-09,662,basic,49,51-200,tech,15,40.4,5,1,0,1,0.3,8,0,0.94,0,14.28,1.0,0.3125,0.6502890173410405,-0.20638881573453807,44.80085083489419,0,0,0,0,0,0,loyal,0.04335260115606936,80.33236994219654,passive,74.0,high,13.423199999999998,13.523791545450923,1176.0,92.7739468598541,0.611,75,1,14.28,1-2yr,0.021538461538461538,1,0,0,3,4,1,1,0
cust_00005,2024-06-13,445,basic,49,1-10,finance,10,84.2,9,3,2,1,0.32,10,0,0.68,0,23.14,0.3333333333333333,0.8181818181818182,1.894736842105263,-0.2064032877982784,50.4437771490057,0,0,0,0,0,0,loyal,0.06315789473684211,79.84210526315789,promoter,86.4,high,15.7352,12.141274598493604,1176.0,141.16138054974428,0.44880000000000003,90,1,23.14,1-2yr,0.051883408071748884,1,0,0,0,0,1,2,0
cust_00006,2025-08-01,31,premium,199,200+,healthcare,22,60.6,8,1,1,1,0.42,9,0,0.68,0,21.32,0.5,0.34782608695652173,10.819672131147541,-0.2651498326990803,58.66105886103694,0,0,0,0,0,0,onboarding,0.49180327868852464,60.909836065573764,promoter,82.4,high,14.497600000000002,41.13224643326824,4776.0,73.88948944769017,0.4828,176,2,42.64,1-2mo,0.66625,1,0,2,2,1,4,2,0
cust_00007,2024-04-20,499,free,0,1-10,other,11,59.6,7,0,7,0,0.88,10,0,0.87,0,17.32,0.125,0.5833333333333334,0.0,0.2197056874649611,51.64983461523134,0,0,0,0,0,0,loyal,0.0,97.0,promoter,97.6,high,15.0684,0.0,0.0,107.63701226467235,0.8178,77,0,0.0,1-2yr,0.03464,1,0,1,0,2,1,2,0
cust_00008,2025-01-24,220,free,0,1-10,tech,2,5.0,2,0,18,0,0.41,8,1,0.23,1,2.2,0.05263157894736842,0.6666666666666666,0.0,-0.3425457918890232,26.7724255768541,1,1,0,1,0,1,mature,0.0,85.25,passive,76.2,low,0.5060000000000001,0.0,0.0,11.875957943339056,0.16215,4,0,0.0,6-12mo,0.00995475113122172,0,0,1,0,4,2,1,1
cust_00009,2024-06-21,437,premium,199,11-50,healthcare,9,32.3,3,2,2,1,0.64,7,0,0.43,0,10.459999999999999,0.3333333333333333,0.3,1.1563169164882228,0.12484354667762729,37.36928226995576,0,0,0,0,0,0,loyal,0.06423982869379015,87.78800856531049,passive,74.8,medium,4.4978,62.317564141394016,4776.0,63.62000980253762,0.3526,27,2,20.919999999999998,1-2yr,0.023881278538812785,1,0,2,1,1,1,1,2
